"","Data Asset","Source Type","Project","Entry Group","Table Schema","Tags","GCS Fileset Metadata","None"
"Q96.1_1",9,3,10,2,2,1,3,11
"Q96.1_2",5,4,2,5,3,2,7,4
"Q96.1_3",8,3,6,4,2,2,2,14
"Q96.1_4",6,1,1,4,1,6,2,18
"Q96.1_5",2,1,1,5,3,2,7,19
"Q96.1_6",27,0,1,3,1,0,1,8
"Q97.1_1",2,1,15,9,1,0,1,5
"Q97.1_2",1,2,1,2,1,3,1,27
"Q97.1_3",6,8,5,2,5,0,4,11
"Q97.1_4",2,1,1,2,2,0,5,27
"Q97.1_5",6,2,1,5,0,3,2,20
"Q97.1_6",5,2,3,3,3,2,5,17
"Q98.1_1",3,6,1,3,7,1,8,9
"Q98.1_2",6,3,1,4,4,4,6,7
"Q98.1_3",1,4,1,2,4,1,6,20
"Q98.1_4",5,0,1,6,3,2,4,15
"Q98.1_5",9,5,9,2,2,3,2,8
"Q98.1_6",22,0,2,1,2,2,1,4
"Q99.1_1",2,2,1,3,1,3,5,18
"Q99.1_2",31,1,0,2,1,0,0,5
"Q99.1_3",7,0,10,3,2,4,2,12
"Q99.1_4",13,2,1,3,1,1,2,17
"Q99.1_5",4,17,0,2,4,1,4,8
"Q99.1_6",3,5,13,1,0,3,2,13
"Q100.1_1",1,18,4,0,3,0,9,1
"Q100.1_2",7,7,0,0,2,0,6,12
"Q100.1_3",0,8,5,4,1,2,10,10
