"","Who-profile","What-profile","When-profile","Where-profile","Why-profile","How-profile","Relationships","None"
"Q87.1_1",0,2,0,1,26,1,2,1
"Q87.1_2",1,12,3,2,0,1,1,6
"Q87.1_3",27,1,1,0,1,1,0,1
"Q87.1_4",7,4,0,3,4,5,1,7
"Q87.1_5",1,3,1,2,1,14,2,9
"Q87.1_6",1,0,28,0,0,1,1,2
"Q88.1_1",14,1,2,5,1,1,1,4
"Q88.1_2",17,2,0,0,0,3,0,7
"Q88.1_3",3,12,0,3,0,5,0,10
"Q88.1_4",0,8,1,2,1,2,0,18
"Q88.1_5",1,8,2,2,0,4,2,12
"Q88.1_6",0,1,2,1,14,0,1,12
"Q89.1_1",0,5,2,1,2,14,4,1
"Q89.1_2",0,11,1,6,2,3,0,4
"Q89.1_3",2,6,2,0,0,8,3,11
"Q89.1_4",1,1,2,3,0,14,2,7
"Q89.1_5",23,0,4,0,0,2,0,2
"Q89.1_6",0,4,20,0,1,2,2,1
"Q90.1_1",2,1,5,0,3,7,4,9
"Q90.1_2",0,1,23,2,1,0,2,2
"Q90.1_3",7,11,0,0,1,4,2,6
"Q90.1_4",0,1,17,0,2,5,2,5
"Q90.1_5",2,1,0,11,0,3,3,11
"Q90.1_6",18,0,2,0,0,5,4,4
"Q91.1_1",3,4,0,13,1,5,1,3
"Q91.1_2",3,4,2,5,2,4,2,8
"Q91.1_3",0,2,2,1,1,3,20,2
